system,accent,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,DEUTSCHLAND DEUTSCH,4.0,3.3603941309452057,4.174892842173576,0.888032968789339,0.8505870886147022
aya_canary-v2,ITALIENISCH DEUTSCH,2.0,3.056320149898529,3.5015246367454527,0.9223234090209007,0.9037658074498176
aya_canary-v2,NORDRHEIN WESTFALEN BUNDESDEUTSCH HOCHDEUTSCH DEUTSCHLAND DEUTSCH,2.0,3.38186949044466,3.7475551679730414,0.9223975346982479,0.9068505589663982
aya_canary-v2,OSTERREICHISCHES DEUTSCH,2.0,4.673772758245468,5.10337195277214,0.8311258360743523,0.8144106289744377
aya_canary-v2,SCHWEIZERDEUTSCH,5.0,3.3816848790645597,4.37449949324131,0.9073173482716084,0.8656280575692654
aya_owsm4.0-ctc,DEUTSCHLAND DEUTSCH,4.0,4.578140310049057,5.376065661907196,0.8333433873951435,0.7971101869642735
aya_owsm4.0-ctc,ITALIENISCH DEUTSCH,1.0,3.498294247984886,3.735493835806847,0.8983217583596707,0.889605699032545
aya_owsm4.0-ctc,NORDRHEIN WESTFALEN BUNDESDEUTSCH HOCHDEUTSCH DEUTSCHLAND DEUTSCH,3.0,3.9813777089118956,4.533125863075257,0.8928463257849216,0.8730490560829639
aya_owsm4.0-ctc,OSTERREICHISCHES DEUTSCH,4.0,5.275491327047348,6.068698545694351,0.7973825361579656,0.764485962614417
aya_owsm4.0-ctc,SCHWEIZERDEUTSCH,4.0,4.173674827814102,5.038758710026741,0.8574943199753762,0.823749475479126
aya_seamlessm4t,DEUTSCHLAND DEUTSCH,3.0,3.724799404144287,4.304755182266235,0.871859959512949,0.8473695881664753
aya_seamlessm4t,ITALIENISCH DEUTSCH,1.0,3.060337530374527,3.2975371181964874,0.9304682415723801,0.9217521822452546
aya_seamlessm4t,NORDRHEIN WESTFALEN BUNDESDEUTSCH HOCHDEUTSCH DEUTSCHLAND DEUTSCH,2.0,3.473495579063892,3.8391812565922736,0.9148507848381996,0.89930380910635
aya_seamlessm4t,OSTERREICHISCHES DEUTSCH,1.0,4.418248666524887,4.658926728963852,0.848375236093998,0.838375236093998
aya_seamlessm4t,SCHWEIZERDEUTSCH,5.0,4.20633089363575,5.189130921959877,0.8640021239221096,0.820858181566
aya_whisper,DEUTSCHLAND DEUTSCH,5.0,3.6299193042516706,4.670808358192444,0.8717068482190371,0.8244555348902941
aya_whisper,ITALIENISCH DEUTSCH,1.0,3.2597884953022005,3.496988083124161,0.9156463423371315,0.906930283010006
aya_whisper,NORDRHEIN WESTFALEN BUNDESDEUTSCH HOCHDEUTSCH DEUTSCHLAND DEUTSCH,4.0,3.978597599565983,4.736845487654209,0.8821807624399662,0.8472736789286137
aya_whisper,OSTERREICHISCHES DEUTSCH,2.0,4.572285535931587,4.930553701519966,0.8347099064290524,0.8225734214484691
aya_whisper,SCHWEIZERDEUTSCH,4.0,3.8083718931674957,4.654313247799873,0.8854434920847416,0.851634936183691
canary-v2,DEUTSCHLAND DEUTSCH,4.0,4.520862042307853,5.162987601161003,0.8771272087097168,0.8518435844779014
canary-v2,ITALIENISCH DEUTSCH,3.0,4.200826308131218,4.761283690333366,0.8960337293148041,0.8749171610176564
canary-v2,NORDRHEIN WESTFALEN BUNDESDEUTSCH HOCHDEUTSCH DEUTSCHLAND DEUTSCH,3.0,4.659013604819775,5.237825135886669,0.8774709391593933,0.8493280625343322
canary-v2,OSTERREICHISCHES DEUTSCH,2.0,5.343556790053844,5.773155984580517,0.8325815510004759,0.8158663439005613
canary-v2,SCHWEIZERDEUTSCH,3.0,4.302869370877743,4.800218490064144,0.8960060144960881,0.8785174643993378
desta2-8b,DEUTSCHLAND DEUTSCH,5.0,6.746673134565353,7.313898915052414,0.6435844957828522,0.6242844986915589
desta2-8b,ITALIENISCH DEUTSCH,3.0,6.073668072521687,6.5362474432587625,0.6569227489829064,0.6443307483196259
