system,accent,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,BASILICATA TRENTINO,2.0,3.3932081791758537,3.8170866367220877,0.8427901472151279,0.8281544275581837
aya_canary-v2,EMILIANO,3.3333333333333335,3.2733622272809346,4.087547449270884,0.8980661223332087,0.8647327889998754
aya_canary-v2,MERIDIONALE,0.0,2.9470247492978445,2.9470247492978445,0.867272782482599,0.867272782482599
aya_canary-v2,TENDENTE AL SICULO MA NON MARCATO,2.0,3.1585330799221993,3.6081945273280143,0.9010006940364838,0.8860729521512986
aya_canary-v2,VENETO,3.0,3.5276506385207176,4.193405042588711,0.8522661736607552,0.8286491641402245
aya_owsm4.0-ctc,BASILICATA TRENTINO,1.0,3.806354306638241,4.0477622374892235,0.807780451476574,0.798015955388546
aya_owsm4.0-ctc,EMILIANO,3.3333333333333335,3.3139989296595256,4.128184151649475,0.9044056137402853,0.871072280406952
aya_owsm4.0-ctc,MERIDIONALE,2.631578947368421,3.249985504307245,3.838919536847817,0.8575258039330181,0.834589877018803
aya_owsm4.0-ctc,TENDENTE AL SICULO MA NON MARCATO,1.0,3.8369304537773132,4.081104421615601,0.8677194902300834,0.858172399699688
aya_owsm4.0-ctc,VENETO,2.0,3.6964717751741407,4.065946190953254,0.8510549008846283,0.8416460826992989
aya_seamlessm4t,BASILICATA TRENTINO,1.0,3.4024010026454925,3.643808933496475,0.8335823826491833,0.8238178865611553
aya_seamlessm4t,EMILIANO,3.3333333333333335,2.8221927007039387,3.6363779226938884,0.9268001198768616,0.8934667865435283
aya_seamlessm4t,MERIDIONALE,0.0,2.802912582692347,2.802912582692347,0.8763342891868792,0.8763342891868792
aya_seamlessm4t,TENDENTE AL SICULO MA NON MARCATO,2.0,3.0399615052342415,3.4422057649493216,0.9066136425733566,0.8952810642123222
aya_seamlessm4t,VENETO,6.0,3.4757269459962843,4.479657786488533,0.860255326628685,0.82540042668581
aya_whisper,BASILICATA TRENTINO,1.0,3.7254933309555054,3.9613414359092713,0.8174564277380705,0.807922125980258
aya_whisper,EMILIANO,3.3333333333333335,2.513015691439311,3.32720091342926,0.9162713587284088,0.8829380253950755
aya_whisper,MERIDIONALE,0.0,2.841556979637397,2.841556979637397,0.8697713695858654,0.8697713695858654
aya_whisper,TENDENTE AL SICULO MA NON MARCATO,1.0,3.158485709130764,3.4026596769690514,0.9053784111142158,0.8958313205838203
aya_whisper,VENETO,3.0,3.9940311908721924,4.565273659229279,0.8350830160081386,0.8087627421319484
canary-v2,BASILICATA TRENTINO,3.0,4.760072210729122,5.370203653275967,0.7667885555326939,0.7497204603254795
canary-v2,EMILIANO,3.3333333333333335,3.863400489091873,4.679219621419906,0.8855393211046855,0.8522059877713521
canary-v2,MERIDIONALE,2.631578947368421,3.5560933131920662,4.138213098049164,0.884553672451722,0.8582935192083058
canary-v2,TENDENTE AL SICULO MA NON MARCATO,4.0,4.072699419558048,4.82435370773077,0.8464055809378624,0.8178729465603829
canary-v2,VENETO,4.0,4.0323364186286925,4.870938136577606,0.8583311416953802,0.8277081390470267
desta2-8b,BASILICATA TRENTINO,2.0,6.813069745898247,7.057817127108574,0.5349130567163229,0.532062234506011
desta2-8b,EMILIANO,0.0,5.18523351152738,5.18523351152738,0.7079095343748728,0.7079095343748728
desta2-8b,MERIDIONALE,2.631578947368421,4.122293098192466,4.580930925513568,0.7547478499381166,0.7400447769384635
desta2-8b,TENDENTE AL SICULO MA NON MARCATO,3.0,5.502043059170246,6.057431607544422,0.6971437644399703,0.682545433435589
desta2-8b,VENETO,3.0,9.424629385471343,9.778428013324737,0.48721767120063303,0.4814358080178499
gemma_canary-v2,BASILICATA TRENTINO,3.0,3.856440359354019,4.36158327460289,0.8225701551139355,0.8066762393712997
gemma_canary-v2,EMILIANO,3.3333333333333335,3.376953222354253,4.187747150659561,0.9017914141217868,0.8684580807884534
gemma_canary-v2,MERIDIONALE,0.0,2.826640261631263,2.826640261631263,0.904500698572711,0.904500698572711
gemma_canary-v2,TENDENTE AL SICULO MA NON MARCATO,4.0,3.281042415201664,4.146711793839931,0.880579989105463,0.8465555126965046
gemma_canary-v2,VENETO,3.0,3.809372361600399,4.384303894937038,0.8472245103120803,0.8265120548009872
gemma_owsm4.0-ctc,BASILICATA TRENTINO,3.0,4.225646712481976,4.645310897529125,0.7923185738176107,0.7797146237641573
gemma_owsm4.0-ctc,EMILIANO,3.3333333333333335,3.4281675895055135,4.242352811495463,0.8938301344712575,0.8604968011379241
gemma_owsm4.0-ctc,MERIDIONALE,0.0,3.247439017421321,3.247439017421321,0.879156148747394,0.879156148747394
gemma_owsm4.0-ctc,TENDENTE AL SICULO MA NON MARCATO,2.0,4.025538047552109,4.402678610086441,0.8366723442077637,0.8249324825406075
gemma_owsm4.0-ctc,VENETO,3.0,4.188722386062145,4.763005995452404,0.8343070907890797,0.8101665617525577
gemma_seamlessm4t,BASILICATA TRENTINO,1.0,3.66705170661211,3.9084596374630927,0.826730337664485,0.8169658427685499
gemma_seamlessm4t,EMILIANO,3.3333333333333335,2.8680847068627675,3.6788786351680756,0.9407434701919556,0.9074101368586223
gemma_seamlessm4t,MERIDIONALE,0.0,2.8254551667916146,2.8254551667916146,0.8991409885255914,0.8991409885255914
gemma_seamlessm4t,TENDENTE AL SICULO MA NON MARCATO,3.0,3.0854720169305803,3.7171828174591064,0.8789089292287826,0.8576486249268055
gemma_seamlessm4t,VENETO,7.000000000000001,3.65410532861948,4.875737406313419,0.8544946445524693,0.808912770152092
gemma_whisper,BASILICATA TRENTINO,3.0,4.099404629468918,4.596010037660599,0.8054803867638111,0.7931586860120297
gemma_whisper,EMILIANO,3.3333333333333335,2.8788786590099336,3.6896725873152416,0.9282688955465953,0.8949355622132619
gemma_whisper,MERIDIONALE,0.0,2.898372534858553,2.898372534858553,0.8876196553832606,0.8876196553832606
gemma_whisper,TENDENTE AL SICULO MA NON MARCATO,2.0,3.3335748144984247,3.807215323150158,0.8705852876603604,0.8511104713380336
gemma_whisper,VENETO,5.0,4.15932218760252,4.956579160392284,0.8273437850177288,0.8052500075101853
owsm4.0-ctc,BASILICATA TRENTINO,3.0,11.61407023191452,11.835284421443939,0.4353469056636095,0.4304942042380571
owsm4.0-ctc,EMILIANO,3.3333333333333335,10.977150440216064,11.656203810373942,0.5112345198790232,0.4799966077009837
owsm4.0-ctc,MERIDIONALE,2.631578947368421,8.135024767957235,8.373314776702932,0.6749582076935392,0.6715340635886318
owsm4.0-ctc,TENDENTE AL SICULO MA NON MARCATO,8.0,10.057332398295403,11.414170309901237,0.5256946805864573,0.4749725732952356
owsm4.0-ctc,VENETO,7.000000000000001,9.517858022451401,10.433585284948348,0.5840014317631721,0.5507173557579518
phi4multimodal,BASILICATA TRENTINO,6.0,4.819469723403454,5.338239876925945,0.8249660457670689,0.767428383976221
phi4multimodal,EMILIANO,10.0,4.764866622289022,5.588609155019125,0.9025361061096191,0.810969203710556
phi4multimodal,MERIDIONALE,0.0,3.2570952804465043,3.2570952804465043,0.8952643636025881,0.8952643636025881
phi4multimodal,TENDENTE AL SICULO MA NON MARCATO,10.0,4.79003368973732,5.821679416298866,0.8914224645495414,0.7949869838356972
phi4multimodal,VENETO,8.0,4.175107597112656,5.221253629922867,0.870777513384819,0.8089522309601307
qwen2audio-7b,BASILICATA TRENTINO,1.0,5.1385728135705,5.379980744421482,0.7338638210296631,0.7240993273258209
qwen2audio-7b,EMILIANO,3.3333333333333335,4.399346387386322,4.923236437638601,0.7370661323269209,0.7160682027538617
qwen2audio-7b,MERIDIONALE,0.0,3.838033692617165,3.838033692617165,0.7912599589479598,0.7912599589479598
qwen2audio-7b,TENDENTE AL SICULO MA NON MARCATO,5.0,5.772594548761845,6.462732103765011,0.7641787265241146,0.7316130281984806
qwen2audio-7b,VENETO,7.000000000000001,5.410818266272545,6.485203422904014,0.7444113753736019,0.695511941164732
seamlessm4t,BASILICATA TRENTINO,2.0,4.137751031816006,4.597912844121456,0.8264243108779192,0.8089971584826707
seamlessm4t,EMILIANO,3.3333333333333335,2.798022876183192,3.6122080981731415,0.9117408116658529,0.8784074783325195
seamlessm4t,MERIDIONALE,0.0,3.5534354997308633,3.5534354997308633,0.8892752581128949,0.8892752581128949
seamlessm4t,TENDENTE AL SICULO MA NON MARCATO,0.0,3.5464130219817163,3.5464130219817163,0.8709662526100874,0.8709662526100874
seamlessm4t,VENETO,5.0,3.9785503268241884,4.970471119880676,0.8569335773587227,0.8187795367836952
tower_canary-v2,BASILICATA TRENTINO,2.0,3.760774284899235,4.211790350973606,0.8351590982079506,0.823845553547144
tower_canary-v2,EMILIANO,3.3333333333333335,3.383894109725952,4.199713242053986,0.8929148554801941,0.8595815221468608
tower_canary-v2,MERIDIONALE,0.0,2.7735073346840706,2.7735073346840706,0.8978485739544818,0.8978485739544818
tower_canary-v2,TENDENTE AL SICULO MA NON MARCATO,3.0,3.098070744872093,3.758325811624527,0.8971874164044857,0.873242785781622
tower_canary-v2,VENETO,4.0,3.72303459584713,4.539686019420624,0.8433076751977205,0.8159430608898401
tower_owsm4.0-ctc,BASILICATA TRENTINO,1.0,4.239625219404697,4.48103315025568,0.7939798172563315,0.7842153211683035
tower_owsm4.0-ctc,EMILIANO,3.3333333333333335,4.154408979415893,4.970228111743927,0.8825239857037862,0.8491906523704529
tower_owsm4.0-ctc,MERIDIONALE,2.631578947368421,3.1745267071222005,3.7634607396627726,0.8734613194277412,0.8505253925135261
tower_owsm4.0-ctc,TENDENTE AL SICULO MA NON MARCATO,2.0,4.040537565946579,4.495305153131485,0.8631722785532474,0.8446082992851734
tower_owsm4.0-ctc,VENETO,4.0,3.9923738223314285,4.591492555737496,0.837500321418047,0.8115052066743373
tower_seamlessm4t,BASILICATA TRENTINO,2.0,3.4439421954751013,3.747268537580967,0.8329829597473144,0.8221291881799698
tower_seamlessm4t,EMILIANO,3.3333333333333335,2.9201888541380563,3.734374076128006,0.9011044601599375,0.8677711268266042
tower_seamlessm4t,MERIDIONALE,0.0,2.713227369283375,2.713227369283375,0.9041125797911694,0.9041125797911694
tower_seamlessm4t,TENDENTE AL SICULO MA NON MARCATO,3.0,2.9497745501995087,3.5626124292612076,0.9028437021374702,0.8824942348897458
tower_seamlessm4t,VENETO,6.0,3.4800118911266327,4.449999669790268,0.86620103366673,0.8311926177889108
tower_whisper,BASILICATA TRENTINO,2.0,4.040107634961605,4.403569885194302,0.805812268704176,0.7926415513455868
